ACCOLATE,Zafirlukast,Asthma: Chronic urticaria (off-label use):
REMERON SOLTAB,Mirtazapine,"
        <i>Discontinuation of therapy:</i> Headache, chronic tension-type, prophylaxis (alternative agent) (off-label use): Major depressive disorder (unipolar): 
        <i>Switching antidepressants: </i> Panic disorder (alternative agent) (off-label use): Note:"
RENVELA,Sevelamer,Note:  Control of serum phosphorous:
RESTORIL,Temazepam,Insomnia: 
RETIN-A,Topical tretinoin,"Acne vulgaris: Palliation of fine wrinkles (Refissa/Renova), mottled hyperpigmentation, and tactile roughness of facial skin (Refissa):"
RETIN-A MICRO,Topical tretinoin,"Acne vulgaris: Palliation of fine wrinkles (Refissa/Renova), mottled hyperpigmentation, and tactile roughness of facial skin (Refissa):"
REVATIO,Sildenafil,Pulmonary arterial hypertension (PAH) Erectile dysfunction Dosage adjustment for concomitant use of potent CYP34A inhibitors: Dosage considerations for patients stable on alpha-blockers: Raynaud phenomenon (off-label use):
RILUTEK,Riluzole,Amyotrophic lateral sclerosis (ALS):
RISPERDAL,Risperidone,Major depressive disorder (adjunct to antidepressants; off-label use):  Posttraumatic stress disorder (PTSD) (off-label use):  Discontinuation of therapy: Concomitant CYP2D6 inhibitors: monotherapy or as an adjunct to lithium or divalproex) Delusional infestation (also called delusional parasitosis) (off-label use):  Schizophrenia: Bipolar mania (<b>monotherapy or as an adjunct to lithium or divalproex)</b>:  Concomitant CYP3A4 inducers:  Bipolar I maintenance (<b>monotherapy or as an adjunct to lithium or divalproex)</b>:  Tourette syndrome (off-label use): 
RISPERDAL M-TAB,Risperidone,Major depressive disorder (adjunct to antidepressants; off-label use):  Posttraumatic stress disorder (PTSD) (off-label use):  Discontinuation of therapy: Concomitant CYP2D6 inhibitors: monotherapy or as an adjunct to lithium or divalproex) Delusional infestation (also called delusional parasitosis) (off-label use):  Schizophrenia: Bipolar mania (<b>monotherapy or as an adjunct to lithium or divalproex)</b>:  Concomitant CYP3A4 inducers:  Bipolar I maintenance (<b>monotherapy or as an adjunct to lithium or divalproex)</b>:  Tourette syndrome (off-label use): 
RITALIN,Methylphenidate,"ADHD:  Fatigue, cancer-related (off-label use):  not  Depression in medically-ill older adults or adult patients with terminal illness and/or receiving palliative care (off-label use): Narcolepsy:"
RITALIN SR,Methylphenidate,"ADHD:  Fatigue, cancer-related (off-label use):  not  Depression in medically-ill older adults or adult patients with terminal illness and/or receiving palliative care (off-label use): Narcolepsy:"
ROBINUL,Glycopyrrolate,"Reversal of bradycardia, vagal reflexes (intraoperative): Reversal of muscarinic effects of cholinergic agents: Reduction of secretions (preoperative): Primary focal hyperhidrosis "
ROBINUL FORTE,Glycopyrrolate,"Reversal of bradycardia, vagal reflexes (intraoperative): Reversal of muscarinic effects of cholinergic agents: Reduction of secretions (preoperative): Primary focal hyperhidrosis "
ROCALTROL,Calcitriol,Vitamin D-resistant rickets:  Vitamin D-dependent rickets type 1/pseudovitamin D deficiency rickets (PDDR) (off-label use): Secondary hyperparathyroidism associated with moderate-to-severe CKD in patients not yet on dialysis: Hypocalcemia in hypoparathyroidism/pseudohypoparathyroidism: Hypocalcemia in patients on chronic renal dialysis:
ROGAINE (FOR,Minoxidil (topical),Alopecia:
ROGAINE EXTRA,Minoxidil (topical),Alopecia:
ROWASA,Mesalamine,"Ulcerative colitis (maintenance of remission): Crohn disease management after surgical resection (off-label use): Ulcerative colitis (treatment): Ulcerative proctitis, active: Distal ulcerative colitis (maintenance of remission): Note:  Crohn disease, mild to moderate (treatment): Crohn disease, mild to moderate (maintenance of remission): Distal ulcerative colitis or proctosigmoiditis, active mild to moderate (treatment):"
RYTHMOL SR,Propafenone,"Paroxysmal supraventricular tachycardia (to prevent recurrence): Paroxysmal atrial fibrillation, pharmacologic cardioversion (off-label use): Atrial fibrillation (to prevent recurrence): Ventricular premature beats (off-label use): Ventricular arrhythmia"
SALAGEN,Pilocarpine,Xerostomia:
SANDOSTATIN,Octreotide,"Carcinoid crisis, prevention (off-label use): Thymoma/thymic malignancies, advanced (off-label use): Malignant bowel obstruction (off-label use): Hepatorenal syndrome (off-label use): Diarrhea (refractory) associated with chemotherapy (off-label use): Diarrhea (off-label use): Vasoactive intestinal peptide tumors (VIPomas): Sulfonylurea-induced hypoglycemia (off-label use): Note: Esophageal varices bleeding (off-label use): Gastroenteropancreatic neuroendocrine tumors, metastatic (off-label use): Acromegaly: Carcinoid tumors: Diarrhea associated with acute graft-versus-host disease (GVHD) (off-label use):"
SEASONALE,Ethinyl estradiol and levonorgestrel,"Contraception With a Sunday start, an additional method of contraception should be used until after the first 7 days of consecutive administration.  Emergency Contraception"
SEASONIQUE,Ethinyl estradiol-levonorgestrel,"Contraception With a Sunday start, an additional method of contraception should be used until after the first 7 days of consecutive administration.  Emergency Contraception"
SECTRAL,Acebutolol,Stable ischemic heart disease (off-label use): Ventricular premature beats:  Hypertension (alternative agent): Thyrotoxicosis (off-label use): 
SEPTOCAINE,Articaine-epinephrine,Dental anesthesia: 
SILVADENE,Silver sulfadiazine,Burn treatment:
SINGULAIR,Montelukast,"Asthma: Chronic urticaria (off-label use): Bronchoconstriction, exercise-induced (prevention): Note:  Allergic rhinitis (perennial or seasonal): Urticaria (nonsteroidal anti-inflammatory drug-induced) (off-label use):"
SKELAXIN,Metaxalone,Musculoskeletal conditions:
SODIUM EDECRIN,Ethacrynic acid,Note:  Edema:
SOLARAZE,Diclofenac,Pain: Rheumatoid arthritis: Ankylosing spondylitis: Primary dysmenorrhea: Migraine: Osteoarthritis:
SOMA,Carisoprodol,Musculoskeletal conditions:
SORIATANE,Acitretin,Psoriasis: Disorders of keratinization (nonpsoriatic) (off-label use):
SPECTRACEF,Cefditoren,"Community-acquired pneumonia: Acute bacterial exacerbation of chronic bronchitis: Pharyngitis, tonsillitis, uncomplicated skin and skin structure infections:"
SPORANOX,Itraconazole,"Cryptococcosis in HIV-infected patients (off-label use) (alternative agent): Paracoccidioidomycosis: Histoplasmosis: Blastomycosis: Pityriasis versicolor: Tinea pedis: Chromomycosis: Cocc Coc Aspergillosis, invasive (salvage therapy): Sporotrichosis: Penicilliosis in HIV-infected patients (off-label use) (HHS [OI adult 2017]): Onychomycosis (toenails due to <i>Trichophyton rubrum</i> or <i>T. mentagrophytes</i>): Onychomycosis (toenails with or without fingernail involvement):  Coccidioidal pneumonia (off-label use): Tinea corporis or tinea cruris: Candidiasis: Microsporidiosis, disseminated (caused by Onychomycosis (fingernail involvement only):"
STALEVO 100,Carbidopa-levodopa-entacapone,Patients previously treated with carbidopa/levodopa immediate release tablets (ratio of 1:4): Patients previously treated with benserazide/levodopa immediate release tablets [Canadian product]: Parkinson disease:
STALEVO 125,Carbidopa-levodopa-entacapone,Patients previously treated with carbidopa/levodopa immediate release tablets (ratio of 1:4): Patients previously treated with benserazide/levodopa immediate release tablets [Canadian product]: Parkinson disease:
STALEVO 150,Carbidopa-levodopa-entacapone,Patients previously treated with carbidopa/levodopa immediate release tablets (ratio of 1:4): Patients previously treated with benserazide/levodopa immediate release tablets [Canadian product]: Parkinson disease:
STALEVO 200,Carbidopa-levodopa-entacapone,Patients previously treated with carbidopa/levodopa immediate release tablets (ratio of 1:4): Patients previously treated with benserazide/levodopa immediate release tablets [Canadian product]: Parkinson disease:
STALEVO 50,Carbidopa-levodopa-entacapone,Patients previously treated with carbidopa/levodopa immediate release tablets (ratio of 1:4): Patients previously treated with benserazide/levodopa immediate release tablets [Canadian product]: Parkinson disease:
STALEVO 75,Carbidopa-levodopa-entacapone,Patients previously treated with carbidopa/levodopa immediate release tablets (ratio of 1:4): Patients previously treated with benserazide/levodopa immediate release tablets [Canadian product]: Parkinson disease:
STELEVO 100,"
       ",Couldn't get indication.
STELEVO 125,"
       ",Couldn't get indication.
STELEVO 150,"
       ",Couldn't get indication.
STELEVO 200,"
       ",Couldn't get indication.
STRATTERA,Atomoxetine,Attention-deficit/hyperactivity disorder (ADHD) treatment:
SULAR,Nisoldipine,Hypertension: Nisoldipine extended-release tablet (original formulation): Sular (Geomatrix delivery system):
SYNALAR,Fluocinolone,Acute otitis media in patients with tympanostomy tubes:
SYNALGOS-DC,Dihydrocodeine-aspirin-caffeine,Pain management:
TACLONEX,Calcipotriol-betamethasone,Plaque psoriasis:
TAMBOCOR,Flecainide,Atrial fibrillation or flutter (pharmacological cardioversion) (off-label dose): Dosage adjustment for concomitant therapy: Ventricular arrhythmias (prevention) Paroxysmal atrial fibrillation/flutter and paroxysmal supraventricular tachycardias (prevention): Conversion from another antiarrhythmic agent: Ventricular premature beats (off-label use)
TARGRETIN,Bexarotene,"Mycosis fungoides/Sezary syndrome, refractory/resistant (off-label dose): Cutaneous T-cell lymphoma, refractory:"
TARKA,Trandolapril-verapamil,Hypertension:
TASMAR,Tolcapone,Parkinson's disease:
TAXOTERE,Docetaxel,"Gastric adenocarcinoma Unknown-primary, adenocarcinoma (off-label use): Small cell lung cancer, relapsed (off-label use): Ovarian cancer (off-label use): Non-small cell lung cancer: Head and neck cancer: Prostate cancer, metastatic, hormone-sensitive (off-label use):  Bladder cancer, metastatic (off-label use): Soft tissue sarcoma (off-label use): Prostate cancer: Esophageal cancer (off-label use): Breast cancer: Ewing sarcoma or osteosarcoma (recurrent or progressive; off-label uses):"
TAZORAC,Tazarotene,"Palliation of fine facial wrinkles, facial mottled hyper-/hypopigmentation, benign facial lentigines: Psoriasis: Acne:"
TEGRETOL XR,Carbamazepine,"Trigeminal or glossopharyngeal neuralgia: Epilepsy: Neuropathic pain, critically ill patients (off-label use): Restless legs syndrome (off-label use): Bipolar disorder: Equetro: Neuropsychiatric symptoms of dementia (off-label use):"
TEMODAR,Temozolomide,"Soft tissue sarcoma (off-label use): Glioblastoma multiforme (recurrent glioma) (off-label use): Glioblastoma multiforme (newly diagnosed, high-grade glioma):  Cutaneous T-cell lymphoma, advanced (mycosis fungoides [MF] and SÌ©zary syndrome [SS]; off-label use): Primary CNS lymphoma, refractory (off-label use): Anaplastic astrocytoma (refractory): Neuroendocrine tumors, advanced (off-label use): Melanoma, advanced or metastatic (off-label use): Ewing‰Ûªs sarcoma, recurrent or progressive (off-label use):"
TENUATE,Diethylpropion,Obesity:
TENUATE DOSPAN,Diethylpropion,Obesity:
TESSALON,Benzonatate,Cough:
TESTIM,Testosterone,Delayed puberty (males): Hypogonadism (primary) or hypogonadism (hypogonadotropic) (males): Breast cancer (females):
TIAZAC,Diltiazem,"Hypertension: Atrial fibrillation (rate control) (off-label use): Idiopathic ventricular tachycardia (off-label use):  Supraventricular tachycardia (ongoing management) Conversion from IV diltiazem to oral diltiazem: Atrial fibrillation, atrial flutter, PSVT (acute treatment): Angina:"
TIGAN,Trimethobenzamide,Nausea/vomiting: Note:
TIKOSYN,Dofetilide,Supraventricular tachycardia (ongoing management) (off-label use):  initial Atrial fibrillation/atrial flutter:
TIMOPTIC-XE,Timolol,Myocardial infarction (secondary prevention): Atrial fibrillation (rate control) (off-label use): Migraine prophylaxis: Hypertension (alternative agent):
TINDAMAX,Tinidazole,"
        <i>Helicobacter pylori</i> Giardiasis: Amebiasis, liver abscess: Bacterial vaginosis: Amebiasis, intestinal: Bacterial vaginosis, recurrent (off-label dose): Trichomoniasis: Trichomoniasis, persistent or recurrent (ie, treatment failure of nitroimidazole [eg, metronidazole]) (index case; treatment of sex partner; off-label dose): Prophylaxis against sexually transmitted diseases following sexual assault (off-label use): Urethritis, nongonococcal (recurrent or persistent urethritis in men who have sex with women and who live in regions where <i>T. vaginalis</i> is prevalent; off-label use):"
TOBI,Tobramycin (oral inhalation),Non-cystic fibrosis bronchiectasis Cystic fibrosis: 
TOBRADEX,Tobramycin-dexamethasone,Ocular inflammatory conditions: 
TOFRONIL PM,Polymyositis,Couldn't get indication.
TOPROL XL,Metoprolol,Hypertension (alternative agent): Thyrotoxicosis (off-label use): MI:  Atrial fibrillation/flutter (ventricular rate control) (acute treatment; off-label use) (AHA/ACC/HRS [January 2014]; AHA [Neumar 2010]): Note: Switching dosage forms: Heart failure: Ventricular arrhythmias (off- Angina: Supraventricular tachycardia (off-label use): 
TORADOL,Ketorolac,Dosage adjustment for low body weight (&lt;50 kg): Pain management (acute; moderately severe) in patients ‰ä´50 kg: 
TRANDATE,Labetalol,"Hypertension, acute (hypertensive emergency/urgency): Arterial hypertension in acute ischemic stroke (off-label use): Subarachnoid hemorrhage (off-label use):  Hypertensive emergency in pregnancy (systolic BP ‰ä´160 mm Hg or diastolic BP ‰ä´110 mm Hg) (off-label dose): IV to oral conversion:  Arterial hypertension in intracranial hemorrhage (off-label use):  Hypertension, chronic (alternative agent):"
TRI-NORINYL,Ethinyl estradiol-norethindrone,Osteoporosis prevention: Contraception: Vasomotor symptoms associated with menopause: Postmenopausal indications: Acne:
TRICOR,Fenofibrate,Hypercholesterolemia or mixed hyperlipidemia: Hypertriglyceridemia:
TRILEPTAL,Oxcarbazepine,"Conversion from immediate release to extended release: Conversion to monotherapy, partial seizures (epilepsy): Initiation of monotherapy, partial seizures (epilepsy): Neuropathic pain (off-label use): Dosage adjustment with concomitant antiepileptic drugs (AEDs): Adjunctive therapy, partial seizures (epilepsy):"
TRILIPIX,Fenofibrate,Hypercholesterolemia or mixed hyperlipidemia: Hypertriglyceridemia:
TUSSIONEX,Hydrocodone and chlorpheniramine,Cough and upper respiratory tract symptoms: Discontinuation of therapy:
ULTRAM,Tramadol,"Premature ejaculation (alternative agent) (off-label use): Pain management: Note: Restless legs syndrome, refractory (alternative agent) (off-label use): "
ULTRAVATE,Halobetasol,Steroid-responsive dermatoses: Plaque psoriasis:
UNITHROID,Levothyroxine,Subclinical hypothyroidism (if treated) (off-label use): Myxedema coma or stupor (off-label dose) (may use in combination with liothyronine): Hypothyroidism: TSH suppression: Cadaveric organ recovery (hormonal resuscitation) (off-label use):
UREX,Methenamine,"Urinary tract infection, prophylaxis/suppression: "
UROCIT-K,Oral citrate-containing formulations,Couldn't get indication.
URSO 250,Ursodeoxycholic acid,"Gallstone prevention post-bariatric surgery (off-label use): Primary biliary cirrhosis (Urso, Urso Forte): Gallstone dissolution (Actigall): Gallstone prevention (Actigall):"
URSO FORTE,Ursodeoxycholic acid,"Gallstone prevention post-bariatric surgery (off-label use): Primary biliary cirrhosis (Urso, Urso Forte): Gallstone dissolution (Actigall): Gallstone prevention (Actigall):"
VAGIFEM,Estradiol,"Hypoestrogenism (female) due to hypogonadism: General dosing guidelines: Prostate cancer, advanced: Breast cancer, metastatic: Osteoporosis prevention (females): Vasomotor symptoms associated with menopause: Note: Vulvar and vaginal atrophy associated with menopause:  Hypoestrogenism (female) due to hypogonadism, castration, or primary ovarian failure: 
        <i>Transdermal product-specific dosing: </i>"
VAGISTAT-1,Tioconazole,"Candidiasis, vulvovaginal:"
VANCOCIN,Vancomycin,"Brain abscess, intracranial epidural abscess, or spinal epidural abscess Endocarditis, treatment (off-label dose): Septic arthritis, without prosthetic material (off-label dose): Intra-abdominal infection (off-label use): As a component of empiric therapy or pathogen-specific therapy (eg, methicillin-resistant <i><b>S. aureus</b></i><b>): </b> Usual dosage range: Bacteremia (off-label dose): ):  S. aureus Osteomyelitis S. aureus  Pneumonia Perioperative prophylaxis (in combination with other appropriate agents when coverage for methicillin-resistant <i>S. aureus </i>is indicated or for gram-positive coverage in patients unable to tolerate beta-lactams) (off-label use):  Endophthalmitis, treatment (off-label use): : Group B streptococcus (neonatal prophylaxis) (alternative agent) (off-label use): Indication-specific dosing: Surgical site infections (off-label use): Cerebrospinal fluid (CSF) shunt infection (off-label use):  Skin and soft tissue infections (hospitalized patient) (off-label dose): As a component of empiric therapy or pathogen-specific therapy for methicillin-resistant <i>S. aureus</i>: Peritonitis, treatment (continuous ambulatory dialysis [CAPD] patients) (off-label use): Prosthetic joint infection (off-label use): Sepsis/septic shock (off-label dose): 
        <i>Clostridium difficile</i> infection (CDI): Note: Meningitis, bacterial (off-label use):"
VANOS,Fluocinonide,Psoriasis: Other inflammatory and pruritic dermatologic conditions besides atopic dermatitis or psoriasis: Atopic dermatitis:
VASERETIC,Enalapril-hydrochlorothiazide,Hypertension: 
VASOTEC,Enalapril formulations,Couldn't get indication.
VECTICAL,Calcitriol,Vitamin D-resistant rickets:  Vitamin D-dependent rickets type 1/pseudovitamin D deficiency rickets (PDDR) (off-label use): Secondary hyperparathyroidism associated with moderate-to-severe CKD in patients not yet on dialysis: Hypocalcemia in hypoparathyroidism/pseudohypoparathyroidism: Hypocalcemia in patients on chronic renal dialysis:
VENLAFAXINE,Venlafaxine,"Generalized anxiety disorder: Obsessive-compulsive disorder (alternative agent) (off-label use): Note: Vasomotor symptoms associated with menopause (alternative agent) (off-label use): Note: Posttraumatic stress disorder (off-label use): 
        <i>Discontinuation of therapy:</i> Narcolepsy with cataplexy (off-label use): Episodic migraine prevention (off-label use):  Panic disorder: Dosing conversion: Ne Premenstrual dysphoric disorder (alternative agent) (off-label use): Social anxiety disorder:  Major depressive disorder (unipolar): 
        <i>Switching antidepressants: </i>"
VENOFER,Iron sucrose,elemental Chemotherapy-associated anemia (off-label use): Iron-deficiency anemia in chronic kidney disease (CKD):
VERELAN,Verapamil,"Hypertension: Supraventricular tachycardia (SVT), acute treatment (off-label dose):  Idiopathic ventricular tachycardia (off-label use): Angina: Cluster headaches: PSVT prophylaxis: Atrial fibrillation (rate control): "
VERELAN PM,Verapamil,"Hypertension: Supraventricular tachycardia (SVT), acute treatment (off-label dose):  Idiopathic ventricular tachycardia (off-label use): Angina: Cluster headaches: PSVT prophylaxis: Atrial fibrillation (rate control): "
VFEND,Voriconazole,"Infection prophylaxis in standard- or high-risk patients with allogeneic hematopoietic stem cell transplant (HSCT) or certain autologous HSCT (off-label use) (Castagna 2012; Maertens 2011; Tomblyn 2009; Wingard 2010):  Candidiasis, intravascular infections (off-label use) (IDSA [Pappas 2016]): Aspergillosis, ocular (off-label use): Candidiasis, oropharyngeal (fluconazole-refractory) (off-label use):  Dosage adjustment in patients receiving concomitant CYP450 enzyme inducers or substrates: Coccidioidomycosis in HIV-infected patients (alternative to preferred therapy) (off-label use) (HHS [OI adult 2015]): Candidiasis, endophthalmitis (with or without vitritis) (off-label use) (IDSA [Pappas 2016]):  Osteoarticular infection not involving the spine (secondary to contaminated [eg, Dosage adjustment in patients with inadequate response: Empiric antifungal therapy (neutropenic fever) (off-label use):  Dosage adjustment in patients unable to tolerate treatment: 
        <i>Talaromyces marneffei</i> Infection prophylaxis in graft-versus-host disease (GVHD) (high-risk patients) (off-label use) (Maertens 2011; Tomblyn 2009; Wingard 2010): Scedosporiosis, fusariosis: Aspergillosis, invasive, including disseminated and extrapulmonary infection; treatment: Osteoarticular infection involving the spine, discitis, epidural abscess or vertebral osteomyelitis (secondary to contaminated [eg,  Candidemia in non-neutropenic patients and disseminated  Candidiasis, esophageal: Coccidioidal meningitis (salvage therapy) (non-HIV infected patients) (off-label use): Meningitis (secondary to contaminated [eg,  Aspergillosis, invasive (prophylaxis during prolonged neutropenia) (alternative therapy) (off-label use): "
VIDAZA,Azacitidine,Myelodysplastic syndromes (MDS): Acute myeloid leukemia (AML) (off-label use): Dosage adjustment based on serum electrolytes:
VIGAMOX,Moxifloxacin,"Bite wounds (animal/human) (off-label use): Nocardiosis (off-label use): Mycoplasma genitalium (off-label use): Community-acquired pneumonia (CAP) (including MDRSP): Pelvic inflammatory disease (in patients allergic to cephalosporins) (off-label use): Chronic bronchitis, acute bacterial exacerbation: Acute bacterial rhinosinusitis: Tuberculosis, drug-resistant tuberculosis, or intolerance to first-line agents (off-label use):  Bacterial meningitis (off-label use): Intra-abdominal infections, complicated: Anthrax (off-label use) (CDC [Hendricks 2014]): Plague: Skin and skin structure infections: Diabetic foot infection (off-label use): Surgical (perioperative) prophylaxis (off-label use):"
VIRAMUNE,Nevirapine,"HIV-1 infection, treatment: "
VIVELLE-DOT,Estradiol (systemic),"Hypoestrogenism (female) due to hypogonadism: General dosing guidelines: Prostate cancer, advanced: Breast cancer, metastatic: Osteoporosis prevention (females): Vasomotor symptoms associated with menopause: Note: Vulvar and vaginal atrophy associated with menopause:  Hypoestrogenism (female) due to hypogonadism, castration, or primary ovarian failure: 
        <i>Transdermal product-specific dosing: </i>"
VOGELXO,Testosterone,Delayed puberty (males): Hypogonadism (primary) or hypogonadism (hypogonadotropic) (males): Breast cancer (females):
VOLTAREN,Diclofenac,Pain: Rheumatoid arthritis: Ankylosing spondylitis: Primary dysmenorrhea: Migraine: Osteoarthritis:
VOLTAREN XR,Diclofenac,Pain: Rheumatoid arthritis: Ankylosing spondylitis: Primary dysmenorrhea: Migraine: Osteoarthritis:
XALATAN,Latanoprost,Elevated intraocular pressure:
XANAX,Alprazolam,Dose reduction: Preoperative anxiety (off-label use): Anxiety disorders: Panic disorder:
XANAX XR,Alprazolam,Dose reduction: Preoperative anxiety (off-label use): Anxiety disorders: Panic disorder:
XENAZINE,Tetrabenazine,Tourette syndrome (Canadian labeling): Chorea associated with Huntington disease: Tardive dyskinesia (off-label use):
XOPENEX,Levalbuterol,"Exacerbation of asthma (acute, severe) Bronchospasm:"
YASMIN,Ethinyl estradiol-drospirenone,"With a Sunday start, an additional method of contraception should be used until after the first 7 days of consecutive administration. Contraception: PMDD (Gianvi, Yaz): Acne (Gianvi, Loryna, Nikki, Vestura, Yaz):"
ZARONTIN,Ethosuximide,Absence (petit mal) seizures:
ZAROXOLYN,Metolazone,Edema (renal disease): Hypertension: Edema (heart failure) (off-label dose):
ZEBETA,Bisoprolol,Hypertension (alternative agent): Atrial fibrillation (rate control) (off-label use): Heart failure (off-label use): Ventricular arrhythmias (off-
ZEGERID,Omeprazole and sodium bicarbonate,Erosive esophagitis: Gastric ulcers: Active duodenal ulcer: Symptomatic GERD: Risk reduction of upper GI bleeding in critically ill patients Heartburn (OTC labeling):
ZEMPLAR,Paricalcitol,Secondary hyperparathyroidism associated with stage 3 and 4 CKD: Secondary hyperparathyroidism associated with chronic renal failure (stage 5 CKD):
ZENPEP,Pancrelipase,Pancreatic insufficiency (exocrine) due to pancreatic cancer (off-label dosing): Pancreatic insufficiency due to chronic pancreatitis or pancreatectomy: Pancreatic insufficiency due to conditions such as cystic fibrosis: 
ZIAC,Bisoprolol-hydrochlorothiazide,Hypertension: 
ZITHROMAX,Azithromycin,"Babesiosis (off-label use): Endocarditis prophylaxis, dental or invasive respiratory tract procedure (alternative agent for penicillin-allergic patients) (off-label use): Pneumonia, community-acquired: Note: Chronic obstructive pulmonary disease (COPD): Bronchiectasis (non-cystic fibrosis), prevention of pulmonary exacerbations (off-label use): Acne vulgaris, inflammatory (moderate to severe) (off-label use): Note: Extended-release suspension (Zmax) is not interchangeable with immediate-release formulations. Cesarean delivery (intrapartum or after rupture of membranes), preoperative prophylaxis (off-label use):  Lyme disease (erythema migrans or borrelial lymphocytoma) (alternative agent) (off-label use): Sexually transmitted infections: Diarrhea, infectious (off-label use): Streptococcal pharyngitis (group A) (alternative agent for severely penicillin-allergic patients): Cystic fibrosis, anti- Cat scratch disease (lymphadenitis) (off-label use): Pertussis (off-label use): Mycobacterial (nontuberculous) infection: Bronchiolitis obliterans syndrome (off-label use):"
ZOLOFT,Sertraline,Switching Body dysmorphic disorder (off-label use):  Discontinuation of therapy: Binge eating disorder (off-label use): Bulimia nervosa (alternative agent) (off-label use): Posttraumatic stress disorder (PTSD): Panic disorder: Premenstrual dysphoric disorder (PMDD): Obsessive-compulsive disorder: Social anxiety disorder: Premature ejaculation (off-label use): Major depressive disorder (MDD) (unipolar): Generalized anxiety disorder (GAD) (off-label use):
ZONALON,Doxepin,Depression and/or anxiety: Discontinuation of therapy: Chronic urticaria (off-label use): MAO inhibitor recommendations: Insomnia (Silenor):
ZOVIRAX,Acyclovir,"HSV, orolabial (cold sores) infection in immunocompetent patients (off-label use): HSV,  HSV, mucocutaneous infection in HIV-infected patients (off-label use):  HSV reactivation  HSV, mucocutaneous treatment: Bell palsy (new onset) (off-label use):  Herpes zoster (shingles) (treatment): Herpes simplex virus (HSV), genital infection: Varicella (chickenpox), treatment: Cytomegalovirus (CMV) infection (prophylaxis in low-risk allogeneic HSCT recipients) (off-label use; alternate therapy): Note: Varicella-zoster virus (VZV) acute retinal necrosis (ARN) in HIV-infected patients (off-label use): HSV encephalitis: Herpes simplex virus (HSV), genital infection in  VZV reactivation (prevention in HSCT recipients) (off-label use):"
ZUTRIPRO,Hydrocodone-chlorpheniramine-pseudoephedrine,Cough and upper respiratory symptoms: Discontinuation of therapy: 
ZYFLO,Zileuton,Asthma:
ZYVOX,Linezolid,"Osteomyelitis, native vertebral (off-label use):  Tuberculosis, extensively drug-resistant (off-label use): Enterococcal infections (vancomycin-resistant [VRE]), including concurrent bacteremia: Skin and skin structure infections (SSI), complicated: Infective endocarditis (treatment), native or prosthetic valve (off-label use): Pneumonia: Septic arthritis due to MRSA (off-label use): Intravascular catheter-associated bloodstream infection due to MRSA, methicillin-resistant coagulase negative staphylococci, or ampicillin- or vancomycin-resistant enterococcus (off-label use): Prosthetic joint infection (off-label use): Osteomyelitis due to MRSA (off-label use): CNS infection due to MRSA (off-label use): Skin and skin structure infections (SSI), uncomplicated:"
